job,type,income,education,prestige
accountant,prof,162,186,182
pilot,prof,172,176,183
architect,prof,175,192,190
author,prof,155,190,176
chemist,prof,164,186,190
minister,prof,121,184,187
professor,prof,164,193,193
dentist,prof,180,200,190
reporter,wc,167,187,152
engineer,prof,172,186,188
undertaker,prof,142,174,157
lawyer,prof,176,198,189
physician,prof,176,197,197
welfare.worker,prof,141,184,159
teacher,prof,148,191,173
conductor,wc,176,134,138
contractor,prof,153,145,176
factory.owner,prof,160,156,181
store.manager,prof,142,144,145
banker,prof,178,182,192
bookkeeper,wc,129,172,139
mail.carrier,wc,148,155,134
insurance.agent,wc,155,171,141
store.clerk,wc,129,150,116
carpenter,bc,121,123,133
electrician,bc,147,139,153
RR.engineer,bc,181,128,167
machinist,bc,136,132,157
auto.repairman,bc,122,122,126
plumber,bc,144,125,129
gas.stn.attendant,bc,115,129,110
coal.miner,bc,107,107,115
streetcar.motorman,bc,142,126,119
taxi.driver,bc,109,119,110
truck.driver,bc,121,115,113
machine.operator,bc,121,120,124
barber,bc,116,126,120
bartender,bc,116,128,107
shoe.shiner,bc,109,117,103
cook,bc,114,122,116
soda.clerk,bc,112,130,106
watchman,bc,117,125,111
janitor,bc,107,120,108
policeman,bc,134,147,141
waiter,bc,108,132,110
